PO Number,Supplier,Department,Category,PO Amount ($),PO Date,Amount Spent ($)
PO-0666,Supplier P,Quality,Hardware,64031,2026-03-06,48010.54
PO-0667,Supplier Q,R&D,Lab Supplies,145715,2027-06-27,139515.08
PO-0668,Supplier R,Finance,Office Supplies,43869,2026-06-21,36946.3
PO-0669,Supplier S,Finance,Hardware,125638,2025-03-20,98624.68
PO-0670,Supplier T,Facilities,Lab Supplies,30519,2025-03-28,19586.41
PO-0671,Supplier U,Facilities,Equipment,27673,2027-05-09,26930.48
PO-0672,Supplier V,Clinical,Consulting,125402,2026-02-23,119174.16
PO-0673,Supplier W,Manufacturing,Consulting,59173,2027-07-16,37143.27
PO-0674,Supplier X,Facilities,Equipment,58829,2026-03-25,57820.27
PO-0675,Supplier Y,Finance,Office Supplies,120586,2027-07-20,108907.72
PO-0676,Supplier Z,Manufacturing,Reagents,80504,2026-05-13,68225.39
PO-0677,Supplier A,Facilities,Software,106161,2025-07-12,82078.69
PO-0678,Supplier B,Quality,Hardware,31305,2025-02-06,28829.85
PO-0679,Supplier C,R&D,Software,72061,2025-01-25,45539.5
PO-0680,Supplier D,IT,Office Supplies,141070,2026-08-14,113356.5
PO-0681,Supplier E,Clinical,Lab Supplies,91598,2025-10-17,63172.93
PO-0682,Supplier F,Facilities,Lab Supplies,17741,2026-10-23,13819.63
PO-0683,Supplier G,IT,Reagents,137429,2026-01-09,83859.97
PO-0684,Supplier H,Quality,Consulting,14400,2026-08-13,10031.81
PO-0685,Supplier I,Manufacturing,Hardware,125943,2026-03-16,118904.49
PO-0686,Supplier J,Clinical,Reagents,73003,2027-07-13,54361.21
PO-0687,Supplier K,Manufacturing,Lab Supplies,36991,2026-07-08,28621.73
PO-0688,Supplier L,R&D,Equipment,81637,2026-03-10,63644.23
PO-0689,Supplier M,Manufacturing,Lab Supplies,28678,2025-01-05,19107.31
PO-0690,Supplier N,R&D,Lab Supplies,7281,2027-09-01,6735.48
PO-0691,Supplier O,Clinical,Lab Supplies,143136,2027-07-25,138514.24
PO-0692,Supplier P,Quality,Reagents,63302,2026-04-04,49832.06
PO-0693,Supplier Q,Finance,Office Supplies,60220,2025-07-26,46434.12
PO-0694,Supplier R,Manufacturing,Office Supplies,123263,2027-01-09,105134.42
PO-0695,Supplier S,Quality,Reagents,59829,2026-04-11,53469.18
PO-0696,Supplier T,Finance,Equipment,109642,2025-02-09,101799.72
PO-0697,Supplier U,IT,Consulting,12120,2025-12-18,8262.63
PO-0698,Supplier V,Manufacturing,Hardware,42639,2025-10-01,31244.28
PO-0699,Supplier W,Manufacturing,Hardware,39490,2026-12-11,25810.4
PO-0700,Supplier X,IT,Software,141015,2025-07-19,85694.7
PO-0701,Supplier Y,Manufacturing,Consulting,121610,2025-01-31,78028.09
PO-0702,Supplier Z,IT,Reagents,125852,2026-09-27,82356.49
PO-0703,Supplier A,Quality,Equipment,61429,2027-05-14,55772.68
PO-0704,Supplier B,Facilities,Office Supplies,68728,2026-06-12,60095.58
PO-0705,Supplier C,R&D,Equipment,54344,2026-07-30,41219.83
PO-0706,Supplier D,Quality,Equipment,38018,2026-01-18,33239.01
PO-0707,Supplier E,Clinical,Hardware,8527,2026-09-12,6053.57
PO-0708,Supplier F,R&D,Hardware,79699,2025-04-04,75444.7
PO-0709,Supplier G,Clinical,Lab Supplies,125934,2026-04-03,79624.88
PO-0710,Supplier H,Quality,Reagents,15944,2027-08-09,12645.6
PO-0711,Supplier I,Facilities,Lab Supplies,102324,2027-05-25,78035.86
PO-0712,Supplier J,Facilities,Reagents,130729,2026-07-05,124452.05
PO-0713,Supplier K,R&D,Lab Supplies,53477,2025-04-30,38936.32
PO-0714,Supplier L,IT,Lab Supplies,41005,2027-01-23,36502.26
PO-0715,Supplier M,Quality,Hardware,30943,2025-06-19,27060.66
PO-0716,Supplier N,R&D,Hardware,55709,2026-01-07,48128.88
PO-0717,Supplier O,Clinical,Lab Supplies,126807,2027-05-07,107470.54
PO-0718,Supplier P,IT,Consulting,95316,2025-06-28,84982.61
PO-0719,Supplier Q,Clinical,Hardware,58863,2026-07-06,53404.49
PO-0720,Supplier R,R&D,Equipment,68710,2027-02-28,56014.28
PO-0721,Supplier S,Clinical,Software,96461,2025-10-05,94391.2
PO-0722,Supplier T,Clinical,Software,113031,2027-05-23,109507.6
PO-0723,Supplier U,R&D,Reagents,23999,2026-02-10,17972.41
PO-0724,Supplier V,Facilities,Consulting,69324,2027-05-21,63667.94
PO-0725,Supplier W,R&D,Office Supplies,7362,2026-07-28,5269.28
PO-0726,Supplier X,Manufacturing,Consulting,134511,2025-08-06,107135.36
PO-0727,Supplier Y,Finance,Software,101426,2025-06-10,61968.81
PO-0728,Supplier Z,R&D,Software,117438,2027-09-04,101838.08
PO-0729,Supplier A,Quality,Hardware,98983,2026-02-08,68245.01
PO-0730,Supplier B,IT,Software,31976,2025-03-03,22910.47
PO-0731,Supplier C,Facilities,Reagents,63143,2025-11-27,57913.24
PO-0732,Supplier D,IT,Software,39554,2025-03-01,26739.58
PO-0733,Supplier E,IT,Software,64477,2026-12-06,57008.24
PO-0734,Supplier F,Quality,Hardware,139980,2025-05-28,125564.7
PO-0735,Supplier G,Clinical,Equipment,86189,2025-02-01,78825.33
PO-0736,Supplier H,Manufacturing,Software,44660,2025-02-28,29014.52
PO-0737,Supplier I,Finance,Hardware,117061,2026-09-11,102325.56
PO-0738,Supplier J,IT,Hardware,35272,2026-03-05,33224.07
PO-0739,Supplier K,Clinical,Hardware,99354,2025-11-23,97321.02
PO-0740,Supplier L,Manufacturing,Software,105370,2025-09-24,80374.9
PO-0741,Supplier M,IT,Software,44987,2027-06-30,37910.2
PO-0742,Supplier N,R&D,Hardware,28411,2026-06-10,17860.9
PO-0743,Supplier O,IT,Hardware,96119,2026-01-12,78100.85
PO-0744,Supplier P,Facilities,Reagents,61331,2025-09-04,42208.69
PO-0745,Supplier Q,IT,Consulting,32575,2027-03-10,20078.09
PO-0746,Supplier R,Quality,Consulting,72348,2026-08-11,66743.7
PO-0747,Supplier S,Finance,Equipment,14394,2025-11-30,9905.04
PO-0748,Supplier T,Finance,Equipment,91199,2025-06-22,89763.05
PO-0749,Supplier U,Manufacturing,Equipment,11871,2026-09-10,9008.79
PO-0750,Supplier V,Finance,Equipment,119413,2027-01-10,78524.9
PO-0751,Supplier W,Quality,Software,10110,2027-09-25,10057.96
PO-0752,Supplier X,Facilities,Hardware,130464,2025-04-08,124900.39
PO-0753,Supplier Y,Quality,Reagents,12507,2025-01-15,9567.15
PO-0754,Supplier Z,Clinical,Software,130955,2027-08-04,95022.78
PO-0755,Supplier A,Facilities,Office Supplies,122571,2027-05-01,92595.16
PO-0756,Supplier B,Finance,Consulting,57108,2026-03-01,55499.63
PO-0757,Supplier C,R&D,Software,145263,2025-05-19,133207.54
PO-0758,Supplier D,Manufacturing,Reagents,88516,2025-08-17,78459.0
PO-0759,Supplier E,R&D,Office Supplies,121998,2025-09-27,82988.38
PO-0760,Supplier F,R&D,Reagents,124624,2025-01-14,93699.77
PO-0761,Supplier G,Clinical,Software,50876,2025-06-20,43228.02
PO-0762,Supplier H,Quality,Equipment,40214,2026-02-26,33613.5
PO-0763,Supplier I,IT,Office Supplies,109171,2026-02-09,70476.41
PO-0764,Supplier J,Finance,Software,43761,2025-05-27,30842.2
PO-0765,Supplier K,Clinical,Equipment,59004,2027-07-28,37667.72
PO-0766,Supplier L,Finance,Consulting,65341,2025-10-22,50568.44
PO-0767,Supplier M,R&D,Office Supplies,143313,2026-01-02,142767.18
PO-0768,Supplier N,Manufacturing,Lab Supplies,140247,2025-12-31,132994.27
PO-0769,Supplier O,IT,Lab Supplies,26808,2026-04-08,16509.46
PO-0770,Supplier P,Finance,Reagents,42799,2026-12-25,32455.02
PO-0771,Supplier Q,R&D,Consulting,27255,2027-09-21,19540.94
PO-0772,Supplier R,Clinical,Consulting,64504,2025-05-09,63354.04
PO-0773,Supplier S,Facilities,Reagents,34299,2026-10-19,21763.08
PO-0774,Supplier T,R&D,Equipment,25217,2025-11-17,21185.17
PO-0775,Supplier U,Manufacturing,Office Supplies,132653,2027-04-02,115417.87
PO-0776,Supplier V,Facilities,Consulting,38171,2025-02-05,25683.47
PO-0777,Supplier W,Quality,Equipment,78614,2027-06-24,61642.5
PO-0778,Supplier X,Manufacturing,Office Supplies,66480,2025-09-26,59386.41
PO-0779,Supplier Y,R&D,Equipment,61760,2025-11-25,60116.7
PO-0780,Supplier Z,Manufacturing,Reagents,102179,2027-07-22,62529.47
PO-0781,Supplier A,Quality,Equipment,112946,2027-02-19,72147.17
PO-0782,Supplier B,IT,Hardware,149571,2027-03-16,116620.35
PO-0783,Supplier C,Finance,Reagents,7837,2026-08-21,7749.42
PO-0784,Supplier D,Manufacturing,Consulting,53256,2025-11-12,32805.65
PO-0785,Supplier E,IT,Office Supplies,103362,2026-11-06,92323.73
PO-0786,Supplier F,IT,Hardware,141948,2026-12-02,87017.71
PO-0787,Supplier G,IT,Lab Supplies,145508,2027-02-02,103605.22
PO-0788,Supplier H,R&D,Lab Supplies,92704,2026-08-28,82323.55
PO-0789,Supplier I,IT,Reagents,121801,2026-08-18,119590.3
PO-0790,Supplier J,IT,Consulting,107620,2025-03-24,94539.56
PO-0791,Supplier K,Finance,Office Supplies,116745,2025-02-02,94482.02
PO-0792,Supplier L,Manufacturing,Reagents,141668,2026-09-19,125560.66
PO-0793,Supplier M,Clinical,Hardware,95879,2025-07-16,71056.16
PO-0794,Supplier N,Quality,Reagents,134849,2025-12-15,91791.68
PO-0795,Supplier O,Clinical,Consulting,47466,2027-03-14,41419.07
PO-0796,Supplier P,IT,Hardware,83163,2027-01-16,53985.76
PO-0797,Supplier Q,Facilities,Hardware,118879,2026-07-24,88906.7
PO-0798,Supplier R,Facilities,Consulting,82924,2025-05-24,77114.71
PO-0799,Supplier S,Facilities,Office Supplies,74112,2025-03-06,55800.49
PO-0800,Supplier T,R&D,Office Supplies,80822,2025-09-11,52961.18
PO-0801,Supplier U,Manufacturing,Reagents,145284,2025-10-11,119252.34
PO-0802,Supplier V,Manufacturing,Equipment,24568,2026-08-03,22311.28
PO-0803,Supplier W,Manufacturing,Hardware,130009,2026-06-26,111667.36
PO-0804,Supplier X,Facilities,Hardware,65907,2025-03-19,57775.72
PO-0805,Supplier Y,IT,Consulting,82666,2026-07-02,61175.09
PO-0806,Supplier Z,Clinical,Office Supplies,23229,2026-04-02,16948.13
PO-0807,Supplier A,Manufacturing,Office Supplies,24505,2027-03-05,17603.86
PO-0808,Supplier B,Clinical,Reagents,8400,2027-06-25,5102.27
PO-0809,Supplier C,Manufacturing,Lab Supplies,73040,2026-11-17,57020.07
PO-0810,Supplier D,R&D,Consulting,30130,2027-02-06,26121.93
PO-0811,Supplier E,Facilities,Lab Supplies,7197,2026-09-29,4422.05
PO-0812,Supplier F,IT,Equipment,61770,2027-01-06,43096.4
PO-0813,Supplier G,Clinical,Reagents,140240,2025-08-24,104869.7
PO-0814,Supplier H,Manufacturing,Hardware,10119,2027-02-15,6134.03
PO-0815,Supplier I,Quality,Lab Supplies,64780,2025-11-06,50469.23
PO-0816,Supplier J,Clinical,Office Supplies,72809,2026-12-12,46639.52
PO-0817,Supplier K,R&D,Consulting,64249,2027-08-20,63335.8
PO-0818,Supplier L,Facilities,Office Supplies,31118,2027-03-28,27353.82
PO-0819,Supplier M,Clinical,Software,18294,2026-10-30,16757.93
PO-0820,Supplier N,Quality,Office Supplies,109477,2027-02-21,103733.53
PO-0821,Supplier O,Facilities,Hardware,90589,2026-07-13,58540.45
PO-0822,Supplier P,Clinical,Equipment,21405,2025-07-03,14591.11
PO-0823,Supplier Q,Finance,Consulting,143367,2027-06-02,140354.87
PO-0824,Supplier R,R&D,Office Supplies,27566,2025-12-22,20102.23
PO-0825,Supplier S,R&D,Consulting,123547,2025-09-17,112449.23
PO-0826,Supplier T,Facilities,Hardware,84567,2027-02-23,78625.47
PO-0827,Supplier U,Facilities,Hardware,71967,2026-01-30,50744.58
PO-0828,Supplier V,Manufacturing,Equipment,29321,2025-01-02,26993.73
PO-0829,Supplier W,Manufacturing,Consulting,111668,2026-05-08,90007.52
PO-0830,Supplier X,R&D,Reagents,112635,2025-10-31,103609.75
PO-0831,Supplier Y,R&D,Consulting,37164,2027-03-01,30271.83
PO-0832,Supplier Z,R&D,Software,94629,2026-01-19,83115.11
PO-0833,Supplier A,Quality,Office Supplies,133822,2025-08-14,130924.91
PO-0834,Supplier B,R&D,Software,61684,2027-04-10,61441.03
PO-0835,Supplier C,Finance,Hardware,24455,2027-07-26,20958.57
PO-0836,Supplier D,Finance,Consulting,29520,2025-05-25,21400.85
PO-0837,Supplier E,Finance,Consulting,43654,2026-02-13,27236.84
PO-0838,Supplier F,Manufacturing,Reagents,75118,2025-05-03,48034.83
PO-0839,Supplier G,Facilities,Software,25022,2025-05-04,21340.28
PO-0840,Supplier H,Finance,Lab Supplies,117718,2025-03-23,112396.5
PO-0841,Supplier I,Finance,Software,112714,2027-02-03,103033.82
PO-0842,Supplier J,Finance,Hardware,123725,2027-04-09,107437.74
PO-0843,Supplier K,Manufacturing,Reagents,73775,2025-01-21,73620.47
PO-0844,Supplier L,Finance,Office Supplies,73880,2026-05-25,64345.67
PO-0845,Supplier M,Facilities,Office Supplies,77777,2026-10-07,63668.26
PO-0846,Supplier N,IT,Consulting,126498,2026-12-03,81925.29
PO-0847,Supplier O,Clinical,Consulting,99404,2025-03-22,79516.65
PO-0848,Supplier P,Finance,Lab Supplies,132643,2026-06-29,117374.27
PO-0849,Supplier Q,Finance,Equipment,17825,2025-10-19,11642.84
PO-0850,Supplier R,IT,Office Supplies,46221,2026-10-20,31066.85
PO-0851,Supplier S,Clinical,Software,121734,2025-08-15,80229.75
PO-0852,Supplier T,Facilities,Hardware,103266,2025-04-06,97871.97
PO-0853,Supplier U,R&D,Lab Supplies,14198,2025-08-19,12101.68
PO-0854,Supplier V,Manufacturing,Reagents,39918,2026-05-20,35889.07
PO-0855,Supplier W,Finance,Software,8186,2026-01-05,7096.82
PO-0856,Supplier X,IT,Consulting,32935,2025-06-08,32650.06
PO-0857,Supplier Y,Finance,Software,140673,2027-09-26,119030.29
PO-0858,Supplier Z,Clinical,Consulting,13030,2025-06-26,12769.01
PO-0859,Supplier A,Finance,Hardware,127515,2025-09-09,80330.92
PO-0860,Supplier B,Manufacturing,Software,135879,2026-07-16,127439.35
PO-0861,Supplier C,Quality,Hardware,145799,2025-10-18,116526.98
PO-0862,Supplier D,R&D,Hardware,136276,2026-06-20,95485.18
PO-0863,Supplier E,Quality,Office Supplies,127503,2025-02-25,92632.23
PO-0864,Supplier F,Finance,Hardware,135317,2026-08-07,100232.73
PO-0865,Supplier G,Quality,Software,8295,2026-06-15,8059.97
PO-0866,Supplier H,Clinical,Reagents,32653,2026-10-26,23320.83
PO-0867,Supplier I,Finance,Lab Supplies,127413,2027-07-03,111443.38
PO-0868,Supplier J,Finance,Software,52774,2025-10-06,32740.72
PO-0869,Supplier K,Facilities,Hardware,61001,2027-06-20,55376.65
PO-0870,Supplier L,Manufacturing,Lab Supplies,29440,2026-12-17,28506.68
PO-0871,Supplier M,Quality,Equipment,12618,2025-03-29,8465.39
PO-0872,Supplier N,IT,Software,115160,2026-05-18,83516.65
PO-0873,Supplier O,Clinical,Reagents,27072,2026-11-21,23634.86
PO-0874,Supplier P,Clinical,Equipment,88367,2026-11-05,82368.53
PO-0875,Supplier Q,Manufacturing,Hardware,57537,2026-05-16,57466.14
PO-0876,Supplier R,Facilities,Consulting,44988,2025-09-05,34196.58
PO-0877,Supplier S,Quality,Reagents,99260,2025-09-03,61241.01
PO-0878,Supplier T,IT,Office Supplies,97988,2026-08-08,72705.17
PO-0879,Supplier U,Facilities,Lab Supplies,130114,2025-04-24,122099.39
PO-0880,Supplier V,Quality,Reagents,88412,2025-07-28,53578.12
PO-0881,Supplier W,Facilities,Equipment,16733,2026-05-07,14973.29
PO-0882,Supplier X,Facilities,Consulting,103343,2025-12-29,98817.31
PO-0883,Supplier Y,Quality,Equipment,96430,2026-02-24,80652.42
PO-0884,Supplier Z,Quality,Software,31639,2027-08-23,22636.65
PO-0885,Supplier A,Manufacturing,Office Supplies,132126,2026-01-22,86028.83
PO-0886,Supplier B,Quality,Hardware,92293,2026-08-15,58349.52
PO-0887,Supplier C,Facilities,Reagents,17282,2026-02-01,16236.7
PO-0888,Supplier D,Quality,Lab Supplies,128721,2025-05-11,99173.78
PO-0889,Supplier E,Facilities,Hardware,85709,2025-03-13,66452.4
PO-0890,Supplier F,Finance,Equipment,27449,2026-02-06,16516.39
PO-0891,Supplier G,R&D,Equipment,77728,2026-05-26,61189.31
PO-0892,Supplier H,Facilities,Lab Supplies,114931,2026-11-25,76952.24
PO-0893,Supplier I,IT,Equipment,25850,2027-01-19,23292.21
PO-0894,Supplier J,IT,Software,105661,2026-06-22,102129.94
PO-0895,Supplier K,Finance,Software,31770,2027-06-08,31736.2
PO-0896,Supplier L,Facilities,Equipment,118461,2026-03-23,109453.4
PO-0897,Supplier M,IT,Office Supplies,91705,2026-05-22,84364.95
PO-0898,Supplier N,Facilities,Lab Supplies,119542,2027-03-09,105148.07
PO-0899,Supplier O,IT,Office Supplies,50440,2025-09-08,33179.03
PO-0900,Supplier P,Quality,Consulting,128744,2026-03-09,80245.11
PO-0901,Supplier Q,Quality,Reagents,117216,2026-07-11,91430.98
PO-0902,Supplier R,Finance,Reagents,31984,2026-08-05,23852.99
PO-0903,Supplier S,R&D,Office Supplies,95655,2027-04-13,57735.93
PO-0904,Supplier T,Finance,Equipment,37106,2027-01-13,32570.47
PO-0905,Supplier U,Facilities,Reagents,44816,2025-08-28,31733.84
PO-0906,Supplier V,R&D,Equipment,51478,2026-10-14,46947.89
PO-0907,Supplier W,IT,Office Supplies,47760,2026-05-17,30055.09
PO-0908,Supplier X,IT,Software,25749,2027-04-22,19612.47
PO-0909,Supplier Y,IT,Consulting,44240,2025-09-06,31236.94
PO-0910,Supplier Z,Finance,Office Supplies,24552,2027-01-25,22058.01
PO-0911,Supplier A,IT,Reagents,54951,2026-10-11,46023.06
PO-0912,Supplier B,Facilities,Equipment,142449,2027-03-02,101569.3
PO-0913,Supplier C,IT,Consulting,102562,2025-01-18,95242.35
PO-0914,Supplier D,Finance,Software,71530,2027-04-01,51047.01
PO-0915,Supplier E,Manufacturing,Software,51786,2027-05-26,37059.81
PO-0916,Supplier F,Finance,Lab Supplies,16536,2026-04-05,11917.05
PO-0917,Supplier G,R&D,Hardware,140933,2027-03-11,137452.08
PO-0918,Supplier H,Clinical,Consulting,139062,2025-09-01,125091.41
PO-0919,Supplier I,Quality,Consulting,48791,2025-11-05,38658.91
PO-0920,Supplier J,IT,Reagents,80050,2027-09-12,69249.26
PO-0921,Supplier K,Quality,Reagents,25107,2027-02-22,24789.14
PO-0922,Supplier L,Finance,Reagents,49483,2026-02-03,35728.64
PO-0923,Supplier M,R&D,Lab Supplies,34595,2027-08-08,33170.4
PO-0924,Supplier N,IT,Consulting,103251,2027-08-01,82292.2
PO-0925,Supplier O,Clinical,Software,68718,2025-07-21,63445.51
PO-0926,Supplier P,Finance,Consulting,129997,2025-11-18,85207.9
PO-0927,Supplier Q,IT,Equipment,16782,2026-05-10,16321.29
PO-0928,Supplier R,Finance,Hardware,126791,2026-04-25,94603.72
PO-0929,Supplier S,IT,Reagents,22598,2026-11-29,21047.41
PO-0930,Supplier T,R&D,Hardware,35842,2025-05-31,28355.94
PO-0931,Supplier U,Facilities,Office Supplies,100652,2026-03-24,93634.63
PO-0932,Supplier V,IT,Hardware,123713,2026-09-14,98011.12
PO-0933,Supplier W,Finance,Lab Supplies,147772,2025-03-15,111705.3
PO-0934,Supplier X,Clinical,Software,6799,2025-09-21,6339.28
PO-0935,Supplier Y,Manufacturing,Reagents,133490,2025-11-07,106727.93
PO-0936,Supplier Z,R&D,Equipment,28696,2026-09-04,25735.03
PO-0937,Supplier A,IT,Hardware,38084,2027-03-06,37433.19
PO-0938,Supplier B,Clinical,Software,93909,2026-07-20,59090.81
PO-0939,Supplier C,R&D,Hardware,23461,2027-05-28,17418.82
PO-0940,Supplier D,R&D,Office Supplies,8081,2027-08-19,8039.87
PO-0941,Supplier E,Finance,Equipment,81142,2025-07-01,61459.37
PO-0942,Supplier F,Finance,Reagents,73961,2025-10-21,55565.1
PO-0943,Supplier G,Facilities,Software,52048,2026-03-27,46122.7
PO-0944,Supplier H,Finance,Lab Supplies,104588,2025-04-15,89028.76
PO-0945,Supplier I,Manufacturing,Lab Supplies,116577,2026-02-25,110199.34
PO-0946,Supplier J,Facilities,Hardware,97409,2025-01-27,96575.9
PO-0947,Supplier K,Facilities,Reagents,32288,2027-03-15,27207.39
PO-0948,Supplier L,Manufacturing,Software,112550,2026-03-03,78258.99
PO-0949,Supplier M,Facilities,Office Supplies,94949,2026-12-10,82281.61
PO-0950,Supplier N,Manufacturing,Reagents,5043,2027-08-07,4362.49
PO-0951,Supplier O,Clinical,Equipment,24062,2026-08-04,14529.09
PO-0952,Supplier P,IT,Software,44085,2027-09-22,27689.55
PO-0953,Supplier Q,Clinical,Reagents,77350,2025-08-11,67764.56
PO-0954,Supplier R,Facilities,Software,83787,2027-04-28,56897.92
PO-0955,Supplier S,Facilities,Equipment,6381,2027-06-13,5570.43
PO-0956,Supplier T,IT,Equipment,147741,2026-10-06,100416.52
PO-0957,Supplier U,Finance,Lab Supplies,128374,2025-12-17,80930.27
PO-0958,Supplier V,Clinical,Reagents,29256,2026-04-26,20919.86
PO-0959,Supplier W,Quality,Hardware,34771,2026-06-24,34652.98
PO-0960,Supplier X,IT,Hardware,134204,2025-12-16,110857.53
PO-0961,Supplier Y,Facilities,Reagents,20905,2027-09-17,12921.18
PO-0962,Supplier Z,Finance,Office Supplies,80017,2027-07-09,67266.05
PO-0963,Supplier A,Quality,Equipment,86227,2027-07-01,75137.94
PO-0964,Supplier B,Finance,Consulting,99663,2027-07-14,87734.55
PO-0965,Supplier C,Quality,Reagents,98848,2026-06-16,67433.81
PO-0966,Supplier D,Finance,Lab Supplies,73105,2025-09-23,53806.21
PO-0967,Supplier E,Finance,Office Supplies,109617,2026-12-19,68978.15
PO-0968,Supplier F,Facilities,Office Supplies,57281,2025-02-07,37350.96
PO-0969,Supplier G,Clinical,Equipment,34436,2027-02-09,23179.77
PO-0970,Supplier H,Manufacturing,Hardware,22511,2026-12-14,17814.3
PO-0971,Supplier I,Clinical,Equipment,93514,2025-11-11,82863.16
PO-0972,Supplier J,Manufacturing,Office Supplies,131493,2027-06-09,110890.95
PO-0973,Supplier K,IT,Software,43390,2025-01-17,38032.8
PO-0974,Supplier L,Facilities,Equipment,133632,2027-06-22,108314.6
PO-0975,Supplier M,Quality,Lab Supplies,109921,2025-12-07,84500.63
PO-0976,Supplier N,Facilities,Hardware,100258,2026-04-19,96546.44
PO-0977,Supplier O,Finance,Lab Supplies,72541,2025-08-30,54272.91
PO-0978,Supplier P,IT,Hardware,138693,2025-04-19,99097.81
PO-0979,Supplier Q,Quality,Office Supplies,8223,2026-09-02,5971.58
PO-0980,Supplier R,Quality,Software,35537,2026-04-12,27597.2
PO-0981,Supplier S,IT,Lab Supplies,19667,2025-08-25,16937.14
PO-0982,Supplier T,Quality,Consulting,48779,2026-01-26,35237.03
PO-0983,Supplier U,Facilities,Reagents,18989,2027-08-03,15496.51
PO-0984,Supplier V,Manufacturing,Software,26966,2026-12-31,16417.68
PO-0985,Supplier W,Finance,Reagents,92500,2026-12-04,79470.04
PO-0986,Supplier X,Quality,Equipment,85589,2025-06-18,75734.69
PO-0987,Supplier Y,Finance,Office Supplies,33266,2025-08-13,24782.61
PO-0988,Supplier Z,Manufacturing,Software,138395,2025-01-29,107460.96
PO-0989,Supplier A,Quality,Consulting,24923,2027-05-31,20961.23
PO-0990,Supplier B,Manufacturing,Consulting,68911,2026-05-11,58969.08
PO-0991,Supplier C,R&D,Hardware,124526,2026-01-11,84427.17
PO-0992,Supplier D,Clinical,Office Supplies,56565,2025-12-13,53699.13
PO-0993,Supplier E,Manufacturing,Reagents,114140,2026-08-30,110632.9
PO-0994,Supplier F,IT,Office Supplies,129349,2026-06-07,89019.32
PO-0995,Supplier G,Clinical,Consulting,101664,2026-12-23,91949.79
PO-0996,Supplier H,Clinical,Hardware,38449,2025-01-08,24127.79
PO-0997,Supplier I,Clinical,Consulting,92392,2027-02-17,67769.9
PO-0998,Supplier J,Finance,Office Supplies,112422,2026-04-24,89199.1
PO-0999,Supplier K,IT,Software,142380,2025-01-30,126154.79
PO-1000,Supplier L,Facilities,Equipment,53920,2027-03-04,46313.04
